Idx,Ratio,Train,Val,Stuff,"Color_Code (R,G,B)",Color_Code(hex),Color,Name,Class_Name (ja),Color_SVG,Color_Description,Color_Emoji
66,0.0014,395,49,0,"(0, 255, 133)",#00FF85,,toilet,トイレ,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
67,0.0014,1309,138,0,"(255, 0, 0)",#FF0000,,flower,花,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,0%,0%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
68,0.0013,1112,113,0,"(255, 163, 0)",#FFA300,,book,本,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,0%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
69,0.0013,266,27,1,"(255, 102, 0)",#FF6600,,hill,丘,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,0%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
70,0.0013,659,66,0,"(194, 255, 0)",#C2FF00,,bench,ベンチ,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,0%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
71,0.0012,331,31,0,"(0, 143, 255)",#008FFF,,countertop,カウンタートップ,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
72,0.0012,531,56,0,"(51, 255, 0)",#33FF00,,stove,レンジ,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(51%,100%,0%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
73,0.0012,369,36,0,"(0, 82, 255)",#0052FF,,palm,手のひら,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,82%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
74,0.0012,144,9,0,"(0, 255, 41)",#00FF29,,kitchen island,キッチンアイランド,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,100%,41%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
75,0.0011,265,29,0,"(0, 255, 173)",#00FFAD,,computer,コンピューター,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
76,0.001,324,33,0,"(10, 0, 255)",#0A00FF,,swivel chair,スイベルチェア,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(10%,0%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
77,0.0009,304,27,0,"(173, 255, 0)",#ADFF00,,boat,ボート,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,0%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
78,0.0009,170,20,0,"(0, 255, 153)",#00FF99,,bar,バー,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
79,0.0009,68,6,0,"(255, 92, 0)",#FF5C00,,arcade machine,アーケードマシン,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,92%,0%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
80,0.0009,65,8,1,"(255, 0, 255)",#FF00FF,,hovel,hovel,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,0%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るいグレー,⬜
81,0.0009,248,25,0,"(255, 0, 245)",#FF00F5,,bus,バス,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,0%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
82,0.0008,492,49,0,"(255, 0, 102)",#FF0066,,towel,タオル,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,0%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
83,0.0008,2510,269,0,"(255, 173, 0)",#FFAD00,,light,ライト,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,0%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
84,0.0008,440,39,0,"(255, 0, 20)",#FF0014,,truck,トラック,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,0%,20%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
85,0.0008,147,18,1,"(255, 184, 184)",#FFB8B8,,tower,タワー,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
86,0.0008,583,56,0,"(0, 31, 255)",#001FFF,,chandelier,シャンデリア,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,31%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
87,0.0007,533,61,0,"(0, 255, 61)",#00FF3D,,awning,オーニング,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,100%,61%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
88,0.0007,1989,239,0,"(0, 71, 255)",#0047FF,,streetlight,街灯,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,71%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
89,0.0007,71,5,0,"(255, 0, 204)",#FF00CC,,booth,ブース,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,0%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
90,0.0007,618,53,0,"(0, 255, 194)",#00FFC2,,television receiver,テレビレシーバー,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
91,0.0007,135,12,0,"(0, 255, 82)",#00FF52,,airplane,飛行機,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,100%,82%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
92,0.0007,83,5,1,"(0, 10, 255)",#000AFF,,dirt track,ダートトラック,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,10%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
93,0.0007,178,17,0,"(0, 112, 255)",#0070FF,,apparel,衣服,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
94,0.0006,1003,104,0,"(51, 0, 255)",#3300FF,,pole,ポール,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(51%,0%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
95,0.0006,182,12,1,"(0, 194, 255)",#00C2FF,,land,土地,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
96,0.0006,452,50,0,"(0, 122, 255)",#007AFF,,bannister,バニスター,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
97,0.0006,42,6,1,"(0, 255, 163)",#00FFA3,,escalator,エスカレーター,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
98,0.0006,307,31,0,"(255, 153, 0)",#FF9900,,ottoman,オスマン帝国,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,0%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
99,0.0006,965,114,0,"(0, 255, 10)",#00FF0A,,bottle,ボトル,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,100%,10%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
100,0.0006,117,13,0,"(255, 112, 0)",#FF7000,,buffet,ビュッフェ,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,0%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
101,0.0006,354,35,0,"(143, 255, 0)",#8FFF00,,poster,ポスター,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,0%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
102,0.0006,108,9,1,"(82, 0, 255)",#5200FF,,stage,ステージ,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(82%,0%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
103,0.0006,557,55,0,"(163, 255, 0)",#A3FF00,,van,バン,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,0%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
104,0.0006,52,4,0,"(255, 235, 0)",#FFEB00,,ship,船,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,0%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
105,0.0005,99,5,0,"(8, 184, 170)",#08B8AA,,fountain,噴水,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(8%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
106,0.0005,57,4,1,"(133, 0, 255)",#8500FF,,conveyer belt,コンベアベルト,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,0%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
107,0.0005,292,31,0,"(0, 255, 92)",#00FF5C,,canopy,天蓋,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,100%,92%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
108,0.0005,77,9,0,"(184, 0, 255)",#B800FF,,washer,洗濯機,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,0%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
109,0.0005,340,38,0,"(255, 0, 31)",#FF001F,,plaything,遊び,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,0%,31%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
110,0.0005,66,3,1,"(0, 184, 255)",#00B8FF,,swimming pool,スイミングプール,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
111,0.0005,465,49,0,"(0, 214, 255)",#00D6FF,,stool,スツール,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
112,0.0005,50,4,0,"(255, 0, 112)",#FF0070,,barrel,バレル,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,0%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
113,0.0005,622,75,0,"(92, 255, 0)",#5CFF00,,basket,バスケット,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(92%,100%,0%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
114,0.0005,80,9,1,"(0, 224, 255)",#00E0FF,,waterfall,滝,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
115,0.0005,59,3,0,"(112, 224, 255)",#70E0FF,,tent,テント,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
116,0.0005,531,72,0,"(70, 184, 160)",#46B8A0,,bag,バッグ,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(70%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
117,0.0005,282,30,0,"(163, 0, 255)",#A300FF,,minibike,ミニビケ,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,0%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
118,0.0005,73,7,0,"(153, 0, 255)",#9900FF,,cradle,ゆりかご,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,0%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
119,0.0005,435,44,0,"(71, 255, 0)",#47FF00,,oven,オーブン,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(71%,100%,0%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
120,0.0005,136,25,0,"(255, 0, 163)",#FF00A3,,ball,ボール,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,0%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
121,0.0005,116,24,0,"(255, 204, 0)",#FFCC00,,food,食べ物,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,0%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
122,0.0004,266,31,0,"(255, 0, 143)",#FF008F,,step,ステップ,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,0%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
123,0.0004,58,12,0,"(0, 255, 235)",#00FFEB,,tank,タンク,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(0%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
124,0.0004,418,83,0,"(133, 255, 0)",#85FF00,,trade name,トレード名,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,0%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい緑,🟩
125,0.0004,319,43,0,"(255, 0, 235)",#FF00EB,,microwave,電子レンジ,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,0%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
126,0.0004,1193,139,0,"(245, 0, 255)",#F500FF,,pot,ポット,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,0%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
127,0.0004,97,23,0,"(255, 0, 122)",#FF007A,,animal,動物,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,0%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
128,0.0004,347,36,0,"(255, 245, 0)",#FFF500,,bicycle,自転車,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(100%,100%,0%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい赤,🟥
129,0.0004,52,5,1,"(10, 190, 212)",#0ABED4,,lake,湖,"<svg baseProfile=""full"" height=""50"" version=""1.1"" width=""50"" xmlns=""http://www.w3.org/2000/svg"" xmlns:ev=""http://www.w3.org/2001/xml-events"" xmlns:xlink=""http://www.w3.org/1999/xlink""><defs /><rect fill=""rgb(10%,100%,100%)"" height=""50"" width=""50"" x=""0"" y=""0"" /></svg>",明るい青,🟦
